id,nom_structure,latitude,longitude,arrondissement_propose,methode,confiance
12,Hôpital de District de Foumbot,5.480000,10.410000,Bafoussam,nominatim,haute
28,Hopital de District de Bandjoun,5.460000,10.420000,Bafoussam,nominatim,haute
37,CIPCRE,5.481735,10.460801,Bafoussam 1,nominatim,haute
39,Cfp njidam,5.481740,10.460930,Bafoussam 1,nominatim,haute
122,Centre de santé islamique,5.483467,10.439419,Bafoussam 1,nominatim,haute
124,Centre de formation professionnelle afro textile(CE-PAT,5.483653,10.439347,Bafoussam 1,nominatim,haute
126,District de santé de la Mifi,5.483764,10.413143,Bafoussam 2,nominatim,haute
129,Commissariat central du 2ème arrondissement ,5.483960,10.439074,Bafoussam 1,nominatim,haute
131,Pharmacie le Nectar,5.484675,10.437853,Bafoussam 1,nominatim,haute
137,Hôpital de District de Famla ,5.477132,10.420121,Bafoussam,nominatim,haute
142,Centre de santé intégré de Badeng,5.554039,10.367510,Bafoussam 2,nominatim,haute
143,Test nsangou,5.580876,10.370502,Bafoussam 2,nominatim,haute
147,Centre de santé intégré de Bapi,5.558301,10.373981,Bafoussam 2,nominatim,haute
155,MINPROFF,5.470441,10.420233,Bafoussam,nominatim,haute
156,Chefferie bapi,5.556444,10.374750,Bafoussam 2,nominatim,haute
160,Hébergement chefferie Bapi ,5.556444,10.374750,Bafoussam 2,nominatim,haute
163,Centre de santé de Tchada-Baleng,5.481709,10.419814,Bafoussam,nominatim,haute
167,Chefferie baleng,5.504459,10.411739,Bafoussam 2,nominatim,haute
170,Étude Maître Tchango,5.468533,10.421804,Bafoussam,nominatim,haute
176,Service pshyco-social de Hôpital régional Bafoussam ,5.481973,10.412562,Bafoussam 2,nominatim,haute
178,Hôpital régional Bafoussam ,5.485291,10.414036,Bafoussam 2,nominatim,haute
179,Santé mentale Hôpital régional ,5.485290,10.414036,Bafoussam 2,nominatim,haute
184,CAO (centre d'accueil et d'observation),5.485290,10.414036,Bafoussam 2,nominatim,haute
187,CAO,5.485290,10.414036,Bafoussam 2,nominatim,haute
191,Centre de formation professionnelle MODAF,5.488368,10.406323,Bafoussam 2,nominatim,haute
192,CAO bafoussam,5.488035,10.408930,Bafoussam 2,nominatim,haute
193,Horizon femme,5.482383,10.412218,Bafoussam 2,nominatim,haute
196,Palais de justice,5.482383,10.412218,Bafoussam 2,nominatim,haute
199,Délégation départementale de la MiFi des affaires sociales ,5.471737,10.417708,Bafoussam,nominatim,haute
262,Cercle International pour la Promotion de la création,5.481862,10.460989,Bafoussam 1,nominatim,haute
272,test 0408,5.481812,10.460950,Bafoussam 1,nominatim,haute
273,Clinique de ngaoundere ,5.482610,10.460556,Bafoussam 1,nominatim,haute
274,Hyuj,5.730205,10.872489,Foumban,nominatim,haute
275,CSM de Dang,7.326925,13.579059,Ngaoundere 2,nominatim,haute
276,Centre de santé de hamadjangi,7.309378,13.586899,Ngaoundere 1,nominatim,haute
277,Cipcre,5.730205,10.872489,Foumban,nominatim,haute
287,Cipre,7.319097,13.576674,Ngaoundere 1,nominatim,haute
288,Centre social Ndere 3 ,7.319098,13.576677,Ngaoundere 1,nominatim,haute
289,Centre de santé intégré de burkina,7.303461,13.597387,Ngaoundere 1,nominatim,haute
290,Hôpital régional de Ngaoundéré ,7.319108,13.576649,Ngaoundere 1,nominatim,haute
291,Sainte ange gardien,7.303461,13.597387,Ngaoundere 1,nominatim,haute
292,Cabinet maître Degoue,7.319099,13.576668,Ngaoundere 1,nominatim,haute
293,Ajdc,7.319099,13.576677,Ngaoundere 1,nominatim,haute
294,MINAS,7.319108,13.576649,Ngaoundere 1,nominatim,haute
295,APRODHAFIM,7.302451,13.598110,Ngaoundere 1,nominatim,haute
