nom,id_a_garder,id_a_supprimer,distance_m
cipcre,299,306,245
nji nchare,56,57,0
orphelinat notre dame de la paix,79,115,38
commune de foumbot,88,123,78
centre de promotion de la femme et de la famille,404,407,191
centre de promotion de la femme et de la famille,405,407,384
service social,127,198,0
ajp cedes du noun,132,134,6
chefferie superieur bamougoum,151,153,0
chefferie superieur bamougoum,151,154,0
chefferie superieur bamougoum,153,154,0
association humanitaire one more hope,159,162,0
inclusive humanitarian center,168,173,411
inclusive humanitarian center,168,216,411
inclusive humanitarian center,173,216,0
yodeco,183,186,0
yodeco,183,190,0
yodeco,186,190,0
centre de sante integre de burkina,289,316,395
aprodhafim,368,369,0
hopital protestant,317,318,13
jadenga,328,329,0
jadenga,328,330,37
jadenga,329,330,37
cipcre ngaoundere,332,334,0
awaye,338,339,16
heal the world (ndere 1),357,361,0
centre social ngaoundere 1,374,375,0
centre social ngaoundere 1,374,377,370
centre social ngaoundere 1,375,377,370
delegation regionale des affaires sociales pour l'adamaoua,391,393,0
delegation regionale des affaires sociales pour l'adamaoua,391,394,120
delegation regionale des affaires sociales pour l'adamaoua,393,394,120
delegation regionale de la promotion de la femme et de la famille pour l'adamaoua,399,400,0
aprospen,402,403,339
aprospen,402,408,343
aprospen,403,408,10
cmpj departemental de la vina,412,415,120
centre social de ngaoundere 2eme,418,419,0
foyer st anges gardiens ndere 1,425,426,494
alucosis+ (ndere 2),430,432,66
cmpj ngaoundere 2,442,445,253
